Year,Month,Fish,c13l,n15l,c13m,n15m,c13s,n15s,Location,Len,Weight,Sex,Age,Animal
2016,9,091316-053,-19.25,13.32,-17.66,13.99,,,KRM,21,121,M,,BSB
2016,9,091316-054,-18.93,13.16,-17.51,14.52,,,KRM,17,95,F,,BSB
2016,9,091316-055,-19.4,12.64,-17.41,13.1,,,KRM,17.5,85,F,,BSB
2016,9,091316-056,,,-17.77,14.62,,,KRM,15.5,66,T,,BSB
2016,11,110516-001,-17.49,13.66,-17.15,14.91,,,KRM,34,423,M,,BSB
2016,11,110516-002,-18.05,14.09,-17.34,14.8,,,KRM,38,,M,,BSB
2016,11,110516-003,-17.44,11.98,-15.97,11.67,,,KRM,20,125,F,,BSB
2016,11,110516-004,-17.14,13.12,-16.81,14.61,,,KRM,20,129,F,,BSB
2016,11,110516-005,-17.66,12.95,-16.96,14.52,,,KRM,20,131,F,,BSB
2016,11,110516-006,-18.21,12.6,-16.55,14.51,,,KRM,16,71,F,,BSB
2016,11,110516-007,-17.18,13.1,-15.12,14.47,,,KRM,17,89,F,,BSB
2016,11,110516-008,-17.6,13.34,-17.29,14.41,,,KRM,29,377,F,,BSB
2016,11,110516-009,-17.42,13.29,-16.99,14.16,,,PS,22,175,F,,BSB
2016,11,110516-010,-18.67,13.83,-17.83,14.69,,,PS,20,129,M,,BSB
2016,11,110516-011,-16.81,13.3,-17.28,14.2,,,PS,18,102,M,,BSB
2016,11,110516-012,-17.16,13.17,-17.07,14.11,,,PS,17,82,M,,BSB
2016,11,110516-013,-17,12.56,-15.12,13.65,,,PS,25,253,F,,BSB
2016,11,110516-014,-18.35,13.15,-17.18,14.3,,,PS,21,158,F,,BSB
2016,11,110516-015,-18.89,12.82,-16.12,13.5,,,PS,20,154,M,,BSB
2016,11,110516-016,-17.53,13.44,-16.53,15.15,,,PS,20,144,M,,BSB
2016,11,110516-017,-17.39,13.3,-17.51,14.44,,,PS,22,190,F,,BSB
2016,11,110516-018,-20,12.08,-16.77,13.4,,,PS,18,88,M,,BSB
2016,11,110516-019,-18.24,11.9,-17.03,12.65,,,PN,29,350,M,,BSB
2016,11,110516-020,-17.49,12.8,-16.93,12.86,,,PN,17,83,M,,BSB
2016,11,110516-021,-17.55,13.25,-16.58,14.7,,,PN,20,129,M,,BSB
2016,11,110516-022,-17.11,13.13,-17.06,14.55,,,PN,18,103,F,,BSB
2016,11,110516-023,-18.14,13.02,-16.99,14.65,,,PN,19,109,F,,BSB
2016,11,110516-024,-18.63,13.54,-16.35,14.69,,,PN,19,96,F,,BSB
2016,11,110516-025,-17.93,12.93,-16.9,14.47,,,PN,17,75,F,,BSB
2016,11,110516-026,-17.15,13.71,-16.81,14.58,,,PN,27,247,M,,BSB
2016,11,110516-027,-20.05,12.92,-17.13,13.74,,,PN,20,150,F,,BSB
2016,11,110516-028,-17.89,12.95,-17.11,14.02,,,PN,19,103,M,,BSB
2016,11,110516-029,-17.45,13.23,-16.19,14.26,,,PN,18,83,F,,BSB
2016,11,110516-030,-17.75,12.95,-17.25,14.19,,,PN,18,115,F,,BSB
2018,5,052218-001,-19.46,13.13,-17.72,14.38,,,NB_TWO,37,661,M,,BSB
2018,5,052218-002,-21.32,12.21,-18.66,13.89,,,NB_TWO,24,207,F,,BSB
2018,5,052218-003,-20.51,11.47,-18.09,13.07,,,NB_TWO,35,548,M,,BSB
2018,5,052218-004,-20.6,10.69,-19.51,13.18,,,NB_TWO,17,78,F,,BSB
2018,5,052218-005,-20.57,11.92,-17.81,13.37,,,NB_TWO,29,317,F,,BSB
2018,5,052218-006,-20.15,11.64,-17.88,13.64,,,NB_TWO,28,326,F,,BSB
2018,5,052218-007,-20.08,14.07,-20.2,16.19,,,NB_TWO,25,288,M,,BSB
2018,5,052218-008,-20.79,11.8,-18.71,13.9,,,NB_TWO,24,175,F,,BSB
2018,5,052218-009,-21.73,12,-18.5,13.46,,,NB_TWO,27,242,F,,BSB
2018,5,052218-010,-21.4,10.74,-18.79,12.61,,,NB_TWO,20,119,F,,BSB
2018,5,052218-011,-20.22,12.34,-18.16,13.45,,,NB_TWO,34,459,M,,BSB
2018,5,052218-012,-19.25,12.88,-17.38,14.55,,,NB_TWO,30,397,M,,BSB
2018,5,052218-013,-20.47,11.94,-17.62,13.77,,,NB_TWO,24,194,F,,BSB
2018,5,052218-014,-20.51,11.81,-18.25,13.59,,,NB_TWO,26,226,F,,BSB
2018,5,052218-015,-20.87,12.56,,,,,NB_TWO,29,330,F,,BSB
2018,5,052218-016,-22.53,12.43,-17.87,14.32,,,NB_TWO,30,384,F,,BSB
2018,5,052218-017,-21.78,11.67,-18.75,12.64,,,NB_TWO,26,223,M,,BSB
2018,5,052218-018,-20.76,12.29,-18.68,13.6,,,NB_TWO,22,172,F,,BSB
2018,5,052218-019,-20.35,10.82,-18.96,12.76,-19.54,11.32,NB_TWO,20,110,F,3,BSB
