Year,Month,Fish,c13l,n15l,c13m,n15m,c13s,n15s,Location,Len,Weight,Sex,Age,Animal
2018,7,070318-010,-20.17,12.76,-18.15,14.19,,,NB_ONE,27,255,M,3,BSB
2018,7,070318-011,-19.63,13.29,-17.78,12.78,,,NB_ONE,34,487,M,5,BSB
2018,7,070318-012,-19.77,12.67,-18.13,13.66,,,NB_ONE,34,459,M,4,BSB
2018,7,070318-013,-19.73,14.06,-18.1,13.09,,,NB_ONE,36,557,M,4,BSB
2018,7,070318-014,-21.23,12.06,-18.44,13.51,,,NB_ONE,28,306,F,3,BSB
2018,7,070318-015,-19.99,12.87,-17.99,13.74,,,NB_ONE,28,269,M,3,BSB
2018,7,070318-016,-20.62,12.22,-17.99,14.62,,,NB_ONE,26,277,F,3,BSB
2018,7,070318-017,-20.14,12.52,-18.2,13.69,,,NB_ONE,30,304,M,4,BSB
2018,7,070318-018,-20.52,13.1,-18.26,13.62,,,NB_ONE,29,317,M,3,BSB
2018,7,070318-019,-20.09,12.83,-18.29,13.9,,,NB_ONE,29,275,M,4,BSB
2018,7,070318-020,-20.27,11.76,-17.01,14.51,,,NB_ONE,24,221,F,2,BSB
2018,7,070318-021,-20.14,13.06,-18.1,14.11,-19.27,14.28,NB_ONE,28,276,M,3,BSB
2018,7,070318-022,-22.54,12.35,-17.38,14.12,-19.33,14.09,NB_ONE,25,259,F,3,BSB
2018,7,070318-023,-21.06,12.43,-17.32,14.94,-19.49,14.19,NB_ONE,22,173,F,2,BSB
2018,7,070318-024,-20.81,11.86,-19.51,12.89,-19.89,12.39,NB_ONE,21,133,M,3,BSB
2018,7,070318-025,-19.41,12.67,-18.71,13.18,-19.12,14.18,NB_ONE,28,275,M,2,BSB
2018,7,070318-026,-20.89,11.38,-18.1,13.9,,,NB_ONE,27,283,F,3,BSB
2018,7,070318-027,-20.58,11.69,-18.6,13.32,,,NB_ONE,24,201,F,3,BSB
2018,7,070318-028,-20.59,11.54,-17.86,14.07,,,NB_ONE,23,196,F,3,BSB
2018,7,070318-029,-20.86,11.94,-18.17,13.44,,,NB_ONE,25,235,F,3,BSB
2018,7,070318-030,-21.39,11.86,-18.49,13.51,,,NB_ONE,28,367,F,4,BSB
2018,7,070318-031,-20.49,12.7,-19.35,12.52,,,NB_ONE,22,147,M,2,BSB
2018,7,070318-032,-20.07,13.34,-18.37,13.49,,,NB_ONE,28,299,M,3,BSB
2018,7,070318-033,-23.1,11.65,-18.6,13.75,,,NB_ONE,26,265,F,3,BSB
2018,7,070318-034,-19.8,11.51,-18.9,13.53,,,NB_ONE,27,297,F,4,BSB
2018,7,070318-035,-21.08,13.41,-17.71,13.34,,,NB_ONE,35,552,M,3,BSB
2018,7,070318-036,-22.37,11.63,-19.08,13.36,-19.02,13.26,NB_ONE,20,139,F,2,BSB
2018,7,070318-037,-22.24,12.07,-18.79,13.39,-19.32,13.79,NB_ONE,28,298,M,3,BSB
2018,7,070318-038,-20.86,13.05,-18.73,14.36,-19.61,13.75,NB_ONE,22,185,F,3,BSB
2018,7,070318-039,-19.42,11.99,-18.79,13.65,-19.3,13.5,NB_ONE,27,328,F,3,BSB
2018,7,070318-040,-19.33,12.15,-17.99,14.36,-19.56,13.9,NB_ONE,28,286,M,3,BSB
2018,7,070318-041,-18.44,13.59,-20.8,12.13,-19.83,13.74,NB_ONE,25,231,F,3,BSB
2018,7,070318-042,-19.85,16.23,-20.5,12.63,-19.97,14.65,NB_ONE,20,150,F,2,BSB
2018,7,070318-043,-18.82,12.84,-20.81,11.73,-19.74,12.92,NB_ONE,20,133,F,3,BSB
2018,7,070318-044,-17.81,13.9,-21.98,11.88,-19.6,13.29,NB_ONE,22,171,F,2,BSB
2018,7,070318-045,-18.27,13.11,-20.41,12.78,,,NB_ONE,33,456,M,4,BSB
2018,7,070318-046,-17.99,13.21,-20.97,11.28,,,NB_ONE,19,111,F,2,BSB
2018,7,070318-047,-18.51,12.84,-20.4,12.32,,,NB_ONE,16,63,M,2,BSB
2018,7,070318-048,-20.21,17.19,-20.9,13.13,,,NB_ONE,22,194,F,2,BSB
2018,7,070318-049,-17.69,14.9,-19.95,13.59,,,NB_ONE,26,239,M,3,BSB
2018,7,070318-050,-17.31,14.45,-19.19,14.1,,,NB_ONE,37,602,M,4,BSB
2018,7,070318-051,-17.94,13.44,-20.04,13.28,,,NB_ONE,32,370,M,4,BSB
2018,7,070318-052,-19.33,13.41,-21.43,11.37,,,NB_ONE,21,148,F,2,BSB
2018,7,070318-053,-19.17,13.24,-20.57,12.78,,,NB_ONE,23,190,M,3,BSB
2018,7,070318-054,-18.3,13.45,-21.32,11.44,,,NB_ONE,21,157,F,3,BSB
2018,7,070318-055,-18.3,13.75,-21.5,11.76,,,NB_ONE,26,279,F,4,BSB
2018,7,071018-001,-20.01,13.67,-18.04,14.45,,,NB_TWO,25,234,M,3,BSB
2018,7,071018-002,-21.75,11.8,-18.5,12.81,,,NB_TWO,26,314,F,3,BSB
2018,7,071018-003,-20.24,13.3,-18.37,13.02,,,NB_TWO,33,397,M,3,BSB
2018,7,071018-004,-18.99,14.17,-17.32,14.38,,,NB_TWO,34,605,M,4,BSB
2018,7,071018-005,-20.86,12.4,-17.86,13.74,,,NB_TWO,25,268,F,3,BSB
2018,7,071018-006,-20.55,12.84,-18.56,13.21,,,NB_TWO,29,321,M,4,BSB
2018,7,071018-007,-20.46,11.96,-18.42,12.98,,,NB_TWO,21,126,M,2,BSB
2018,7,071018-008,-19.62,12.46,-17.21,14.12,,,NB_TWO,25,231,F,3,BSB
2018,7,071018-009,-20.35,12.75,-18.54,13.49,,,NB_TWO,29,254,M,3,BSB
2018,7,071018-010,-20.08,13.29,-18.14,13.69,,,NB_TWO,27,261,M,3,BSB
2018,7,071018-011,-20.4,11.95,-17.59,14.09,,,NB_TWO,28,335,F,4,BSB
2018,7,071018-012,-20.58,12.15,-19.03,14.11,,,NB_TWO,21,157,F,2,BSB
2018,7,071018-013,-19.65,13.4,-18.64,13.67,,,NB_TWO,25,192,M,4,BSB
2018,7,071018-014,-20.33,12,-18.33,13.09,,,NB_TWO,24,200,F,3,BSB
2018,7,071018-015,-20.62,11.94,-18.49,13.26,,,NB_TWO,26,236,F,4,BSB
2018,7,071018-016,-20.47,11.36,-18.9,12.47,,,NB_TWO,22,159,F,2,BSB
2018,7,071018-017,-19.6,13.99,-18.38,13.62,,,NB_TWO,36,563,M,5,BSB
2018,7,071018-018,-20.46,12.36,-18.63,13.73,,,NB_TWO,26,237,F,3,BSB
2018,7,071018-019,-20.2,12.81,-18.57,13.46,,,NB_TWO,31,349,M,3,BSB
2018,7,071018-020,-20.26,13,-18.44,13.3,,,NB_TWO,29,293,M,4,BSB
2018,7,071018-021,-19.24,13.76,-17.34,14.73,,,NB_TWO,31,352,M,4,BSB
2018,7,071018-022,-19.77,12.79,-18.13,13.43,,,NB_TWO,28,290,M,3,BSB
2018,7,071018-023,-19.34,13.23,-18.65,13.45,,,NB_TWO,27,271,M,3,BSB
2018,7,071018-024,-21.07,12.19,-17.66,14.21,,,NB_TWO,24,228,F,4,BSB
2018,7,071018-025,-20.44,12.03,-18.32,13.45,,,NB_TWO,26,220,F,4,BSB
2018,7,071018-026,-20.07,12.69,-19.43,15.72,,,NB_TWO,22,165,F,2,BSB
2018,7,071018-027,-20.52,11.5,-17.65,13.83,,,NB_TWO,22,166,F,2,BSB
2018,7,071018-028,-19.98,12.83,-18.95,13.03,,,NB_TWO,20,141,F,3,BSB
2018,7,071018-029,-20.16,11.63,-18.15,13.49,,,NB_TWO,27,228,M,3,BSB
2018,7,071018-030,-22.37,12.19,-17.93,14.1,-19.36,13.66,NB_ONE,22,182,F,3,BSB
2018,7,071018-031,-20.68,12.03,-18.67,13.5,,,NB_ONE,20,118,M,2,BSB
2018,7,071018-032,-20.14,12.91,-18.6,12.82,-19.59,14.37,NB_ONE,31,362,M,3,BSB
2018,7,071018-033,-20.49,12.77,-18.2,13.8,-19.14,14.45,NB_ONE,29,308,M,4,BSB
2018,7,071018-034,-19.91,12.05,-18.21,14.1,,,NB_ONE,27,277,F,3,BSB
2018,7,071018-035,-20.5,13.49,-18.79,13.72,,,NB_ONE,30,298,M,4,BSB
2018,7,071018-036,-20.18,12.73,-17.88,14.43,,,NB_ONE,21,143,F,3,BSB
2018,7,071018-037,-21.05,10.75,-19.2,12.56,,,NB_ONE,20,127,F,3,BSB
2018,7,071018-038,-20,12.74,-17.96,13.74,,,NB_ONE,25,212,M,3,BSB
2018,7,071018-039,-19.68,11.18,-19.17,12.77,,,NB_ONE,19,95,F,2,BSB
2018,7,071018-040,-20.79,11.78,-17.18,14.04,,,NB_ONE,21,149,M,2,BSB
2018,7,071018-041,-19.75,13.86,-18.21,13.84,-18.6,14.81,NB_TWO,32,403,F,3,BSB
2018,7,071018-042,-20.99,13,-19.79,16.39,-20.07,14.64,NB_TWO,20,140,F,2,BSB
2018,7,071018-043,-22.25,12.37,-18.74,14.26,-19.62,13.65,NB_TWO,24,207,F,3,BSB
2018,7,071018-044,-20.41,12.37,-18.79,13.98,-19.23,14.58,NB_TWO,21,146,F,3,BSB
2018,7,071018-045,-20.09,12.43,-18.7,13.29,-18.84,13.93,NB_TWO,20,124,F,2,BSB
2018,7,071018-046,-20.74,11.94,-17.92,14.53,-19.12,14.14,NB_TWO,24,212,F,3,BSB
2018,7,071018-047,-19.87,11.53,-18.25,13.52,-18.89,13.63,NB_TWO,27,287,F,3,BSB
2018,7,071018-048,-20.32,12.42,-18.27,13.52,-19.3,14.22,NB_TWO,26,282,F,4,BSB
2018,7,071018-049,-20.01,12.17,-17.78,14.42,-19.06,14.43,NB_TWO,26,239,F,3,BSB
2018,7,071018-050,-20.76,13.3,-18.71,14,,,NB_TWO,19,100,M,2,BSB
2018,7,071018-051,-20.8,12.47,-18.81,12.47,,,NB_TWO,29,313,M,3,BSB
2018,7,071018-052,-20.93,12.54,-18.01,14.58,,,NB_TWO,21,200,F,3,BSB
2018,8,080518-001,-19.31,13.56,-18.02,14.84,,,CARS,24,169,M,3,BSB
2018,8,080518-002,-18.62,12.6,-19.08,15.26,,,CARS,21,154,F,2,BSB
2018,8,080518-003,-19.07,12.86,-18.35,13.47,,,CARS,27,299,F,4,BSB
2018,8,080518-004,-19.21,13.09,-18.76,13.87,,,CARS,23,160,M,3,BSB
2018,8,080518-005,-19.29,12.6,-18.33,14.19,,,CARS,14,54,M,2,BSB
2018,8,080518-006,-19.32,11.86,-18.39,13.8,,,CARS,16,74,F,2,BSB
2018,8,080518-007,-20.59,12.85,-18.34,14.29,,,CARS,16,73,F,1,BSB
2018,8,080518-008,-19.31,12.21,-18.55,13.81,,,CARS,14,45,F,1,BSB
2018,8,080518-009,-18.95,12.9,-17.69,14.44,,,CARS,28,343,F,4,BSB
2018,8,080518-010,-18.93,14.27,-17.98,14.09,,,CARS,36,634,M,4,BSB
2018,8,080518-011,-18.73,13.8,-17.61,14.64,,,CARS,26,240,M,3,BSB
2018,8,080518-012,-19.81,12.47,-18.17,13.06,,,CARS,20,118,M,2,BSB
2018,8,080518-013,-18.9,13.64,-18.63,15.48,,,CARS,24,188,M,2,BSB
2018,8,080518-014,-18.46,12.96,-18.64,13.7,-18.82,13.56,CARS,21,129,M,3,BSB
2018,8,080518-015,-19.69,13.24,-19.32,15.85,-19.15,14.68,CARS,24,214,F,2,BSB
2018,8,080518-016,-18.93,13.43,-19.38,16.08,-19.25,14.62,CARS,23,150,M,2,BSB
2018,8,080518-017,-19.41,12.21,-18.37,13.68,-18.76,14,CARS,26,250,F,5,BSB
2018,8,080518-018,-19.17,12.1,-18.32,13.2,-18.82,13.67,CARS,29,283,F,4,BSB
2018,8,080518-019,-21.84,12.54,-18.06,13.75,,,CARS,17,75,M,1,BSB
2018,8,C-SLUG,-20.44,12.23,,,,,NB_ONE,,,,,Slug
2018,8,HERMIT,-19.86,10.65,,,,,NB_ONE,,,,,Rock Crab
2018,8,FLNDR1,-19.02,11.87,,,,,NB_ONE,,,,,Flounder
2018,8,FLNDR2,-19.07,12.1,,,,,NB_ONE,,,,,Flounder
2018,8,MUSSEL1,-22.26,8.42,,,,,NB_ONE,,,,,Mussel
2018,8,MUSSEL2,-22.44,7.77,,,,,NB_ONE,,,,,Mussel
2018,8,MUSSEL3,-22.45,8.11,,,,,NB_ONE,,,,,Mussel
2018,8,MUSSEL4,-22.4,7.49,,,,,NB_ONE,,,,,Mussel
2018,8,ROCK-CRB1,-16.73,9.06,,,,,NB_ONE,,,,,Rock Crab
2018,8,ROCK-CRB2,-21.29,10.56,,,,,NB_ONE,,,,,Rock Crab
2018,8,ROCK-CRB3,-21.23,10.31,,,,,NB_ONE,,,,,Rock Crab
2018,8,C-SNAIL1,-20.34,11.12,,,,,CARS,,,,,Snail
2018,8,C-SNAIL2,-19.98,11.43,,,,,CARS,,,,,Snail
2018,8,C-SNAIL3,-17.43,12.38,,,,,CARS,,,,,Snail
2018,8,C-SNAIL4,-17.04,12.4,,,,,CARS,,,,,Snail
2018,8,GRASS-SHRIMP1,-17.53,12.01,,,,,CARS,,,,,Shrimp
2018,8,SAND-DOLLAR,-4.14,9.2,,,,,CARS,,,,,Sand Dollar
2018,8,SCALLOP,-20.26,8.12,,,,,CARS,,,,,Scallop
2018,8,FLNDR3,-18.39,12.82,,,,,CARS,,,,,Flounder
2018,8,FLNDR4,-18.31,12.62,,,,,CARS,,,,,Flounder
2018,8,ROCK-CRB4,-19.23,10.8,,,,,CARS,,,,,Clam
2018,8,MHG-CLAM2,-20.27,10.35,,,,,CARS,,,,,Clam
2018,8,MHG-CLAM3,-20.79,9.97,,,,,CARS,,,,,Clam
2018,8,MHG-CLAM4,-20.61,10.06,,,,,CARS,,,,,Clam
2018,8,GRASS-SHRIMP2,-17.46,12.09,,,,,CARS,,,,,Shrimp
2018,8,GRASS-SHRIMP3,-16.95,12.11,,,,,CARS,,,,,Shrimp
2018,8,GRASS-SHRIMP4,-17.51,12.31,,,,,CARS,,,,,Shrimp
2018,8,SAND-DOLLAR2,-4.62,9.48,,,,,CARS,,,,,Sand Dollar
2018,8,SAND-DOLLAR3,-4.43,8.87,,,,,CARS,,,,,Sand Dollar
2018,8,SAND-DOLLAR4,-4.16,9.24,,,,,CARS,,,,,Sand Dollar
2018,8,SCALLOP2,-20.09,8.34,,,,,CARS,,,,,Scallop
2018,8,SCALLOP3,-19.97,8.92,,,,,CARS,,,,,Scallop
2018,8,SCALLOP4,-19.78,8.68,,,,,CARS,,,,,Scallop
