Lat,Long,Site,Year
38.556,-74.904,A,16
38.543,-74.902,A,16
38.543,-74.985,A,16
38.388,-74.892,A,16
38.636,-74.876,A,16
38.599,-75.154,N,16
38.41,-75.08,N,18
38.477,-74.969,N,18
38.331,-75.033,A,18
38.153,-79.166,A,18
38.54,-74.992,A,18
38.168,-75.154,A,18
